,rec_id,section_id,content_type,content,content_style,table_location,image_location
0,72cd8085-fc18-43f7-9173-7797475c0f07,,Para,A Guide to Identifying and Caring for Common Backyard Birds,Heading 1,,
1,11bdd87c-f667-403c-b6fe-c1b72be239ed,,Image,No Alt Text,Normal,,extracted_image_R5bdaed344bd64285.jpg
2,19691cfa-b5b9-4d0f-9a50-421b4f91aa89,,Para,Introduction,Heading 2,,
3,1ee6f956-a285-4e06-87e8-42773062ee8e,,Para,"Birdwatching, or birding, is a rewarding hobby that connects us with nature. Observing birds in our backyards offers a glimpse into their fascinating lives and the vital ecological roles they play. Explore the vibrant world of backyard birds through this guide, which delves into their behaviors, appearances, and needs while offering insights into creating a habitat that attracts and supports them.",Normal,,
4,6969833d-83a7-4a03-9e81-685d420ac1ce,,Para,Section 1: Common Backyard Birds of North America,Heading 2,,
5,ed324ea3-1409-47e1-bab8-3fd97fba6b9d,,Table,"| 0                      | 1      | 2                                          | 3                            | 4                                   | 5                                                          |
|:-----------------------|:-------|:-------------------------------------------|:-----------------------------|:------------------------------------|:-----------------------------------------------------------|
| Bird Name              | Images | Common Colors                              | Preferred Food               | Nesting Habits                      | Similar Species                                            |
| American Robin         |        | Grayish-brown back, reddish-orange breast  | Earthworms, insects, berries | Cup-shaped nests in trees or shrubs | Wood Thrush (differences in markings, song)                |
| Northern Cardinal      |        | Male: bright red; Female: reddish-brown    | Seeds, fruits, insects       | Cup-shaped nests in dense shrubs    | Pyrrhuloxia (slightly different beak shape and coloration) |
| Black-capped Chickadee |        | Black cap and bib, white cheeks, gray back | Insects, seeds, berries      | Cavity nester, tree holes           | Carolina Chickadee (subtle differences in song and range)  |",Heading 2,Birdwatching Guide_table_1.csv,
6,0ed8d69e-d3a5-43fc-908a-b3c40fceca33,,Para,Audio Clips/Spectrograms: Provide bird songs and calls for auditory learning.,List Paragraph,,
7,6f38c6e6-2b81-4258-b42e-40840de0b14f,,Para,"Range Maps: Each bird's distribution is illustrated with range maps, for example: ""Image Description: A colored map highlighting the summer and winter ranges of the American Robin across North America, with arrows indicating migration paths.""",List Paragraph,,
8,b4044890-2194-4b66-be8b-0363f1ea6c38,,Para,Similar Species Comparison: Use detailed tables highlighting differences between similar birds.,List Paragraph,,
9,c6abff6c-76b4-45be-8b5f-5f997475df96,,Para,Section 2: Creating a Bird-Friendly Habitat,Heading 2,,
10,c5a69b78-916d-463d-9290-fb81f59816ff,,Para,Habitat Features,Heading 4,,
11,0e58fd4a-b6cf-488c-85c3-b17b74020e29,,Para,"To attract a variety of birds to your yard or garden, it's important to provide a range of features that meet their needs. The following table highlights various habitat features that can make your space more inviting to birds:",Normal,,
12,4d9f0540-5738-49d8-b957-655f4575f478,,Table,"| 0                  | 1                                                                                                      | 2             |
|:-------------------|:-------------------------------------------------------------------------------------------------------|:--------------|
| Habitat Feature    | Description                                                                                            | Sample Images |
| Trees and Shrubs   | Provide shelter, nesting sites, and food sources. Choose native species for optimal support.           |               |
| Bird Baths         | Offer a water source for drinking and bathing. Ensure it’s shallow and regularly cleaned.              |               |
| Native Plants      | Attract insects and offer natural food sources like berries, seeds, and nectar.                        |               |
| Brush Piles        | Provide cover and nesting sites. Offer a safe place for birds to forage and hide.                      |               |
| Nesting Boxes      | Provide safe places for birds to build their nests, particularly in areas with fewer natural cavities. |               |
| Wildflower Meadows | Attract pollinators and seed-eating birds, offering both food and shelter.                             |               |
| Hedges and Fences  | Offer protective cover from predators and a space for birds to travel safely.                          |               |",Heading 4,Birdwatching Guide_table_2.csv,
13,311ddebf-adaa-4d23-a7dd-8d7d47a1d69c,,Para,Bird Feeders,Heading 4,,
14,8f6249e9-deaa-408d-a78d-fe73052cfe49,,Para,Providing bird feeders is an effective way to attract a variety of birds to your garden. The following table outlines common types of bird feeders and their ideal uses:,Normal,,
15,298f706f-5dbf-4fed-98db-e3dc7acc1d6a,,Table,"| 0               | 1                                                                                          | 2                                                                         | 3             |
|:----------------|:-------------------------------------------------------------------------------------------|:--------------------------------------------------------------------------|:--------------|
| Type of Feeder  | Description                                                                                | Best For                                                                  | Sample Images |
| Tube Feeder     | Long, narrow feeders with multiple feeding ports. Often used for small seeds.              | Finches, chickadees, and sparrows.                                        |               |
| Hopper Feeder   | Tray-style feeders with a roof to protect seeds from the elements.                         | Cardinals, jays, woodpeckers, and nuthatches.                             |               |
| Suet Feeder     | Typically a mesh bag or cage holding suet cakes, which provide high-energy food.           | Woodpeckers, wrens, and titmice.                                          |               |
| Platform Feeder | Open, flat feeders that allow a variety of birds to feed simultaneously.                   | Doves, sparrows, juncos, and ground-feeding birds.                        |               |
| Nyjer Feeder    | Specialized feeders designed for small seeds like thistle or nyjer.                        | Finches (especially American goldfinch).                                  |               |
| Window Feeder   | A small feeder that attaches directly to a window for close-up views.                      | Suited for all species, particularly those that prefer seed at eye-level. |               |
| Ground Feeder   | A simple tray placed on the ground, often with seed scattered or placed in a shallow dish. | Ground-feeding birds like juncos, towhees, and robins.                    |               |",Normal,Birdwatching Guide_table_3.csv,
16,3ad0522c-48dd-4553-9aae-b1b4ad8354ec,,Para,Birdseed Guide,Heading 4,,
17,57a6efa4-e134-4511-8c6e-26210ae6ab40,,Para,Matching the right type of birdseed with the appropriate bird species will attract more visitors to your feeders. Here's a quick guide:,Normal,,
18,78e17702-e762-436f-807f-e2ad2f70e2af,,Table,"| 0                         | 1                                                         | 2             |
|:--------------------------|:----------------------------------------------------------|:--------------|
| Birdseed                  | Best For                                                  | Sample Images |
| Black Oil Sunflower Seeds | Cardinals, chickadees, finches, titmice, and woodpeckers. |               |
| Nyjer (Thistle) Seed      | Goldfinches, purple finches, redpolls, and siskins.       |               |
| Safflower Seed            | Cardinals, grosbeaks, and nuthatches.                     |               |
| Suet                      | Woodpeckers, nuthatches, wrens, and chickadees.           |               |
| Millet                    | Sparrows, doves, and juncos.                              |               |
| Peanut Pieces             | Jays, woodpeckers, chickadees, and titmice.               |               |
| Cracked Corn              | Sparrows, doves, and quail.                               |               |",Normal,Birdwatching Guide_table_4.csv,
19,8eb92ea9-8423-4465-b8ea-8890b97a7f18,,Para,Maintenance,Heading 4,,
20,ac3846d0-8945-4b83-a699-0d0c1c3fc82e,,Para,"To ensure your bird habitat remains healthy and safe, it's essential to regularly maintain your bird feeders:",Normal,,
21,0520048e-fafb-4fae-aa38-84af63ff262d,,Para,"Clean Feeders Regularly: Clean all feeders every two weeks (or more frequently in wet or humid conditions) with a mild bleach solution or soap and water. This helps to prevent mold, bacteria, and the spread of disease.",List Paragraph,,
22,f1db5b1b-8491-494d-8979-a39302dca7f4,,Para,Check for Damage: Inspect feeders for any cracks or damage that could harm birds. Replace broken or worn feeders to ensure safety.,List Paragraph,,
23,15c6e4d3-6f85-49fa-b2bb-7dbb214ba43d,,Para,"Refill Feeders: Keep feeders well-stocked, particularly during the winter months when natural food sources are scarce. However, avoid overfilling, as stale seed can attract pests or spoil quickly.",List Paragraph,,
24,3c858b66-69ef-4feb-8aff-aa867d733e48,,Para,"Clean Birdbaths: Wash birdbaths at least once a week to prevent algae growth and water contamination. Ensure they remain filled with fresh water, especially during hot weather.",List Paragraph,,
25,02b2241c-2c75-49c2-9437-cabee4af232b,,Para,Section 3: Bird Behavior and Ecology,Heading 2,,
26,d36cb5ea-de9a-49a5-88b8-bed52297bed8,,Para,Bird Migration,Heading 4,,
